Nama Usaha;Alamat;Kdkec;Kddesa
PENGANGKUTAN <SIDABUTAR>;JALAN LINGKAR TUKTUK;Simanindo;Garoga
APOTEK CARLOS;JL.DI.PAND JAITAN;Pangururan;Pardomuan I
PENGANGKUTAN <MIKJEN>;TOLPING;Simanindo;Garoga
SMA NEGERI 1 PANGURURAN;KOMPLEK SMA NEGERI 1 PANGURURAN;Pangururan;Pintusona
SD NEGERI 21 SIMANINDO;DESA SIMANINDO;Simanindo;Simanindo
KSU KOZERO <KC BATAM>;SAITNIHUTA;Pangururan;Sait Ni Huta
LINGGOM, UD;JALAN SIMANINDO HARIARA 3;Pangururan;Parsaoran I
UD SABAR SUMURUNG (MANIUR);JL SISINGA MANGARAJA;Pangururan;Pasar Pangururan
SMA SWASTA HKBP;JL GEREJA PANGURURAN;Pangururan;Pasar Pangururan
SD NEGERI 5;LUMBAN PINGGOL;Pangururan;Lumban Pinggol
PANGKALAN ELPIJI GAS (MARSIUS);SIAHAAN BALIAN;Pangururan;Pasar Pangururan
PERKASA UTAMA CV;SAIT NIHUTA;Pangururan;Sait Ni Huta
KANTIN SEKOLAH <CANDRA>;PINTU BATU;Pangururan;Rianiate
HOTEL SONDANG DAINANG;J L PUTRI LOPIAN;Pangururan;Pardomuan I
MIE GORENG IRDIOUS;JL GEREJA;Pangururan;Pasar Pangururan
ELSE PERABOT;JL DI PANJAITAN;Pangururan;Pardomuan I
CV SUMBER KASIH SEJAHTERA <KAMPAK>;TELE DUSUN 2;Harian;Partungko Naginjang
TRANSPORTASI AIR <MARULAK SIMBOLON>;LUMBAN PASIR PINTU BATU;Pangururan;Rianiate
PUSKESMAS PEMBANTU RIANIATE;DESA RIANIATE;Pangururan;Rianiate
TELKOM, PT;JL DR FL TOBING;Pangururan;Pardomuan I
JURNI GROUP, PT;JL. NAHUM SITUMORANG NO. 14;Pangururan;Pardomuan I
TRANSPORTASI BECA <RAMPA>;PINTU BATU;Pangururan;Rianiate
KANTOR KONSULTAN TOBA BUDI SMART KARYA;JL PUTRI LOPIAN GANG BERSAMA;Pangururan;Pardomuan I
VILLA LYLA CAFE RESTO;PASIR PULO TOLPING;Simanindo;Martoba
SUPIR ANGKUTAN <RUDOLF>;TOLPING;Simanindo;Ambarita
TYESZA HOTEL;DESA UNJUR;Simanindo;Unjur
SUPIR ANGKUTAN <FERI>;TOLPING;Simanindo;Garoga
FRANGKY RESTAURANT;JLN LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
VANDU KARAOKE;JALAN LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
ANJU COTTAGE;JLN LINGKAR TUKTUK LUMBAN MANURUNG;Simanindo;Tuk-Tuk Siadong
TOLEDO INN 2;JL RINGROAD TUKTUK;Simanindo;Tuk-Tuk Siadong
TOKO RAHEL KELONTONG;JL GEREJA;Pangururan;Pasar Pangururan
MOBIL RENTAL <MULADIN>;JALAN RIANIATE;Pangururan;Huta Namora
PT WAHANA PUTRA YUDHA <TDC>;JL NAHUM SITUMORANG;Pangururan;Pardomuan I
TOKO OBAT <SITIO>;JL RAYA AMBARITA;Simanindo;Garoga
KILANG PADI <KAMRIN>;PINTU BATU;Pangururan;Rianiate
USAHA JUAL GAS <PANTRI>;PASAR NAINGGOLAN;Nainggolan;Nainggolan
JUAL DAGING <SOPAN>;LOS PASAR NAINGGOLAN;Nainggolan;Nainggolan
POSYANDU;SILITONG SIGAOL SIMBOLON DUSUN I;Palipi;Sigaol Simbolon
SD NEGERI 6 PANGALOAN;LUMBAN BARAGAS;Nainggolan;Pangaloan
SAKKAMADEHA;JL DI PANJAITAN;Pangururan;Pardomuan I
FAEL, CV <JAMOSDEN>;DESA SARIMARRIHIT, SIANJUR MULAMULA;Sianjur Mulamula;Sarimarrihit
KONTRAKTOR (RONNY CV);SINAGA URUK URAT 2;Palipi;Urat II
TIMBUL, UD;PASAR NAINGGOLAN;Nainggolan;Nainggolan
CV ADVEN;JLN NAHUM SITUMORANG;Pangururan;Pardomuan I
CV BINTANG SAMOSIR (TOMMY);JL DR FL TOBING;Pangururan;Pasar Pangururan
INDOMARET <MANSYAPUTRA>;JALAN SISINGAMANGARAJA;Pangururan;Pasar Pangururan
DANAMON, PT;J L DR HADRIANUS SINAGA;Pangururan;Pardomuan I
DORULI CV;PELABUHAN ONAN RUNGGU;Onan Runggu;Onanrunggu
JUAL PAKAIAN JADI <NASIONAL>;PASAR NAINGGOLAN;Nainggolan;Siruma Hombar
RUMAH MAKAN IRDIOUS;JL GEREJA;Pangururan;Pasar Pangururan
PULTAK PAGAR CV;TANAH LAPANG SIPINGGAN;Pangururan;Pasar Pangururan
WARUNG MAKAN MINUM <HENDRIK>;AEK RANGAT;Pangururan;Siogung - Ogung
NARIK BECAK <OLOP>;DUSUN I MANDA HUTA;Pangururan;Sialanguan
PEMBAWA BECAK <HERMAN>;BUTAR RIANIATE;Pangururan;Rianiate
TOKO MANHATTAN;JL DI PANJAITAN (dekat terminal);Pangururan;Pardomuan I
HARRIS, UD;jln hadrianus sinaga (PARJONGGI);Pangururan;Pardomuan I
BENYAMIN TONGAM, CV;LUMBAN HARIARA;Pangururan;Pardomuan I
USAHA BATU BATA (SINURAT);SIGIRO;Pangururan;Huta Tinggi
DEPOT AIR ISIULANG <MALAKA>;PASAR NAINGGOLAN;Nainggolan;Siruma Hombar
MC 2001 ENTERTAINMENT;JL PUTRI LOPIAN GG BERSAMA;Pangururan;Pardomuan I
STUDIO PHOTO GRACIA;JALAN PUSUK BUHIT DSN 3;Pangururan;Parsaoran I
JO PARLAMBASAN, CV;JL DI PANJAITAN;Pangururan;Pardomuan I
DISTRIBUTOR UD GEMILANG <UNILEVER>;JL PELABUHAN;Pangururan;Pardomuan I
PUPUK KIMIA (LUKMAN), UD;ONAN SIBAGANDING;Sitio-tio;Sabulan
SDN 2 SABUNGAN NIHUTA;SABUNGAN NIHUTA;Ronggur Nihuta;Sabungan Ni Huta
SPAREPART SEPEDA MOTOR <MARIHOT>;JLN FL TOBING;Pangururan;Pardomuan I
KM ANUGRAH;JALAN LINGKAR TUKTUK;Simanindo;Ambarita
DAGING BABI <JOSDI SWANTO>;LOS PEKAN INPRES PANGURURAN;Pangururan;Pardomuan I
BINTANG, UD <HELENA>;JL DR FL TOBING pangururan;Pangururan;Pasar Pangururan
WARNET <NAPITU>;JLN LING KAR TUKTUK;Simanindo;Tuk-Tuk Siadong
KIOS SOUVENIR <EPI>;JL HORAS;Simanindo;Tomok Parsaoran
SD NEGERI 24 CINTA DAME;LUMBAN PASIR;Simanindo;Cinta Dame
TOKO OBAT <VISTRO>;PASAR UNJUR;Simanindo;Siallagan Pindaraya
SAUDARA UD;JL RAYA AMBARITA;Simanindo;Cinta Dame
PARNA, UD;JL RAYA AMBARITA;Simanindo;Tanjungan
ANJU KARAOKE;JL LINGKAR TUKTUK LUMBAN MANURUNG;Simanindo;Tuk-Tuk Siadong
SAMOSIR COTTAGEs;JLN LINGKAR TUKTUK LUMBAN MANURUNG;Simanindo;Tuk-Tuk Siadong
PAUD SITOBU KIDS;JL SITOBU NO 12;Simanindo;Ambarita
ROMLAN ACCOMODATION;JL LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
MARYSCA ART SHOP;JL LINGKAR TUKTUK;Simanindo;Tomok
DUMASARI HOTEL, CV;J L LING KAR TUKTUK;Simanindo;Tuk-Tuk Siadong
D`POS GUEST HOUSE;JL LINGKAR TUKTUK;Simanindo;Simanindo Sangkal
SARTIKA CATERING;JL RAYA AMBARITA;Simanindo;Martoba
PANGLONG <DEDI>;LUMBAN PASIR;Simanindo;Parmonangan
TOKO ORLANDO;JL NAHUM SITUMORANG;Pangururan;Pardomuan I
UD RIDHO SERVICE;JALAN PUSUK BUHIT;Pangururan;Pasar Pangururan
AMBAROBA HOTEL;JL LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
CAHAYA CV (ROBET);PASAR PANGURURAN;Pangururan;Pasar Pangururan
LAURANA SANJAYA, CV;JL NAHUM SITUMORANG;Pangururan;Pardomuan I
CV RUHUT (MAR);JL SISINGAMANGARAJA;Pangururan;Pasar Pangururan
BECAK (BENAYA);JL SIANJUR MULA MULA;Pangururan;Pasar Pangururan
PERSEWAAN JET SKY <ZEBUA>;JALAN LINGKAR TUKTUK;Simanindo;Pardomuan
TOKO PUPUK <ROMMEL>;PASAR NAINGGOLAN, NAINGGOLAN;Nainggolan;Nainggolan
KEVIN MART;JL PELABUHAN;Pangururan;Pardomuan I
REGGAE GUEST HOUSE;JLN LINGKAR TUKTUK PANDAN;Simanindo;Tuk-Tuk Siadong
ORARI RESTAURANT;JLN LINGKAR TUKTUK LUMBAN MANURUNG;Simanindo;Maduma
MEXICO FURNITURE;JL PELABUHAN;Pangururan;Pardomuan I
SDN 8 PARDOMUAN;SITALASEAK;Onan Runggu;Pardomuan
PAUD CHYRE ELEIZON;JALAN PUSUK BUHIT DUSUN 3;Pangururan;Parsaoran I
PERSEWAAN JET SKY <LITAR>;JALAN LINGKAR TUK TUK;Simanindo;Tuk-Tuk Siadong
RM MUSLIM SAPRIA;JL LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
KB WELIPA;NAINGGOLAN;Nainggolan;Nainggolan
ANGKUTAN UMUM<TIGOR>;SIAHAAN BALIAN;Pangururan;Pasar Pangururan
KB CINTA KASIH;DESA SAIT NIHUTA;Pangururan;Sait Ni Huta
PANGLONG SINAGA MARS;JL D I PANJAITAN;Pangururan;Pardomuan I
SEKOLAH SMA SANTO MIKHAEL;JL USKUP AGUNG SUGIO PRANOTO;Pangururan;Pardomuan I
PUTRA PEALAGE CV;SAIT NIHUTA;Pangururan;Sait Ni Huta
PENARIK BECAK <SANRO>;JALAN RAYA RIANIATE;Pangururan;Huta Namora
BEENVENIOOS AMIGOS, CV;JALAN DR HADRIANUS PANGURURAN;Pangururan;Pintusona
WARUNG KOPI (MARIA);JL. KANTOR CAMAT;Ronggur Nihuta;Ronggur Ni Huta
TRANSPORTASI BECAK <DANGKIT>;PINTU BATU;Pangururan;Rianiate
EDO GOLD STAR CV;SIPINGGAN LUMBAN SIANTAR;Nainggolan;Sipinggan Lumban Siantar
POLINDES SITUNGKIR <WINRA>;LUMBAN BOLAK DUSUN 2;Pangururan;Situngkir
SEDAR GROUP, CV;PASAR NAINGOOLAN;Nainggolan;Nainggolan
BECAK MOTOR <ROBIN>;SIAHAAN BARLIAN;Pangururan;Pasar Pangururan
SD NEGERI 23 SIOGUNGOGUNG;JALAN AIR PANAS;Pangururan;Siogung - Ogung
PAUD AGAPE;SITANGGANG BAU DUSUN 1;Pangururan;Parsaoran I
KLINIK <RATIO>;JALAN SIMANINDO GUMBA;Pangururan;Parsaoran I
PT MEGA AUTO CENTRAL <ELRICO>;JALAN RAYA TELE;Pangururan;Siogung - Ogung
REPARASI SEPEDA MOTOR MANGIRING;JALAN SIMANINDO DUSUN 3;Pangururan;Parsaoran I
PENGINAPAN IRDIYOSPANDE;JALAN PUSUK BUHIT DUSUN 3;Pangururan;Parsaoran I
SENANG TANI <ALSUDIN>;SOSOR BULU;Simanindo;Siallagan Pindaraya
BRANDOS BAR;JL LINGKAR TUKTUK SI ADONG;Simanindo;Tanjungan
PENYEWAAN KAMAR JEGEES;JL PUSUK BUHIT DUSUN 2;Pangururan;Parsaoran I
SD SWASTA KATHOLIK palipi;SIBABIAT;Palipi;Palipi
TOKO BUDIMAN CV;JL DI PANJAITAN NO 94;Pangururan;Pardomuan I
SAROHA JAYA, CV;JL HANUM SITUMORANG;Pangururan;Pardomuan I
WARUNG MIE <HERBET>;JALAN RAYA MOGANG;Palipi;Pallombuan
GLOBAL PAYMENT, CV;JL KOLONEL LIBERTY MALAU;Pangururan;Pardomuan I
PANGKALAN LPG <JOSUA>;LUMBAN GAOL DUSUN 1;Palipi;Parsaoran Urat
USAHA FOTOCOPY <SALMON>;JL KANTOR CAMAT RONGGUR NIHUTA;Ronggur Nihuta;Ronggur Ni Huta
TOKO HANDPHONE SINTA MARDONGAN <MAYA>;jalan DR FL TOBING;Pangururan;Pasar Pangururan
TRANSPORTASI BECAK CU DAME<DULMAN>;PINTU BATU;Pangururan;Rianiate
SUTAN, UD;SIARUNG ARUNG PARMONANGAN;Pangururan;Parmonangan
NARIK BECAK <ABNER>;JALAN RAYA RIANIATE;Pangururan;Huta Namora
BECAK MOTOR <LAMASI>;JALAN RAYA RIANIATE;Pangururan;Huta Namora
PNM ULAMM, PT;JALAN DR HADRIANUS;Pangururan;Pintusona
USAHA KILANG PADI <JORTANA>;DESA SARIMARRIHIT;Sianjur Mulamula;Sarimarrihit
SD NEGERI 15 BUNTU MAULI;BUNTU MAULI;Sitio-tio;Buntu Mauli
NARIK BECAK <RENHARD>;SABUNGAN NIHUTA DUSUN 1;Pangururan;Situngkir
PERSEWAAN BANANA BOAT <RIWAN>;JALAN LINGKAR TUK TUK;Simanindo;Tuk-Tuk Siadong
KARYA VANY KONSTRUKSI, PT;Sosor I Desa Sigaol Marbun, Kec. Palipi;;
SD NEGERI 11 TAMBA DOLOK;SIMPANG IMPRES;Sitio-tio;Tamba Dolok
SAMUEL LPG;JL LINGKAR TUKTUK;Simanindo;Ambarita
SAMPRI, PT;SIAHAAN BAGASAN;Pangururan;Pasar Pangururan
HARIARA GUEST HOUSE;JLN LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
MARUBA RESTAURANT;J L LING KAR TUKTUK;Simanindo;Tuk-Tuk Siadong
RUMAH MAKAN HORAS (RAMLI);JLN SINGAMANBARAJA;Pangururan;Pasar Pangururan
RUMAH NABOLON, CV;DESA SARIMARRIHIT SIANJUR MULAMULA;Sianjur Mulamula;Sarimarrihit
TOMMY, UD;HUTAGALUNG DUSUN 2;Harian;Hutagalung
SDN 10 HUTA GURGUR;JANJI MATOGU;Sianjur Mulamula;Huta Gurgur
KLINIK SANTO LUKAS;SOSOR DALAN ONAN RUNGGU;Onan Runggu;Onanrunggu
PENJUAL SEMBAKO <BOSMA>;KIOS NO 91 PEKAN INPR ES PANG URURAN;Pangururan;Pardomuan I
TOKO KELONTONG <KUMPUL>;Desa parsaoran 1;Pangururan;Parsaoran I
TOKO SAHAT <NICO>;JL SISINGAMANGARAJA PANGURURAN;Pangururan;Pasar Pangururan
KANTOR POS;JL PULO SAMOSIR;Pangururan;Pasar Pangururan
MANTAP, CV (ALAT ALAT PESTA);JALAN BESAR TANJUNGAN;Simanindo;Tuk-Tuk Siadong
SUPIR ANGKUTAN <LEO>;TOLPING;Simanindo;Martoba
TOKO MAS SURABAYA;JL DI PANJAITAN;Pangururan;Pardomuan I
RUMAH BERSALIN ST.ELISABETH;KOMPLEKS SUSTERAN;Pangururan;Pardomuan I
SIHAR MOTOR;JLDRHADRIANUS SINAGA;Pangururan;Pardomuan I
NOTARIS <RITA DYAH>;JL PATUAN ANGGI;Pangururan;Pasar Pangururan
TOKO 12 BERSAUDARA;J L.DI.PAND JAITAN;Pangururan;Pardomuan I
INDUSTRI PEMBUATAN KOSEN <SABAR>;SIRIMBANG PASIR;Pangururan;Rianiate
SUPIR ANGKOT <BILIN>;UPA SUHUT;Simanindo;Simarmata
SDN 18 BONAN DOLOK (MORINA);BONAN DOLOK;Sianjur Mulamula;Bonan Dolok
UD POLTEN;JL USKUP AGUNG SUGIO PRANOTO;Pangururan;Pardomuan I
PENJAHIT SONDANG;JL DI PANJAITAN;Pangururan;Pardomuan I
TRANSPORTASI BECA <HARTONO>;PANGAMBATAN DESA RIANIATE;Pangururan;Rianiate
MARTOGI, CV;TANAH LAPANG;Pangururan;Pasar Pangururan
BRATAMA ENGINEERING CV;JALAN BARU SITANGGANG BAU;Pangururan;Parsaoran I
PARHONBANAN, CV;JLN FL TOBING;Pangururan;Pardomuan I
ARIBEDIDIDA CV;JL KEJAKSAAN;Pangururan;Pasar Pangururan
TUKANG BECAK <SALOMO>;HUTA RAJA;Pangururan;Rianiate
PENDIDIKAN GANESHA OPERATION, PT;JL NAHUM SITUMORANG;Pangururan;Pardomuan I
KSU SAMOSIR MANDIRI;JALAN KOLONEL LIBERTY MALAU;Pangururan;Pardomuan I
SALON BINTANG <BASARIA>;MALAU;Ronggur Nihuta;Ronggur Ni Huta
SDN 3 PASAR PANGURURAN;TANAH LAPANG;Pangururan;Pasar Pangururan
KSP MAKMUR MANDIRI;JL DI PANJAITAN;Pangururan;Pardomuan I
KM NAINGGOLAN 8;NAINGGOLAN;Nainggolan;Nainggolan
ANGKUTAN UMUM (MANAOR);SIAHAAN BALIAN;Pangururan;Pasar Pangururan
ANGKUTAN UMUM UNTUK PENUMPANG;SI ARUNG ARUNG;Pangururan;Parmonangan
SANLIHO KOPI;JL PUTRI LOPIAN;Pangururan;Pardomuan I
UD.LAMBOK;JL RONGGURNIHUTA;Pangururan;Pardomuan I
KLINIK;PALIPI;Palipi;Palipi
KING MOTOR SERVICE;NAINGGOLAN;Nainggolan;Nainggolan
JASA ANGKUTAN;JL KEJAKSAAN;Pangururan;Pasar Pangururan
TRANSPORTASI AIR <RENGSI>;PINTU BATU;Pangururan;Rianiate
YANTI MOTOR CV;JALAN SIMANINDO GUMBA;Pangururan;Parsaoran I
RO REJEKI USAHA DAGANG;SOSOR SIBABIAT ONAN RUNGGU;Onan Runggu;Onanrunggu
CV BATU BOLON;JALAN TELE SIMANINDO;Pangururan;Siogung - Ogung
ANGKUTAN SUMBER SARI;HARIARA TOLU;Pangururan;Parsaoran I
DAMERO ONE MUSIK <RENANDO>;DESA LUMBAN PINGGOL;Pangururan;Lumban Pinggol
CHRISTY, CV;ALNGIT DUSUN 3 PARSAO RAN;Pangururan;Lumban Suhi Suhi Toruan
SD NEGERI 20 SIMBOLON PURBA;TARABUNGA;Palipi;Simbolon Purba
TOKO OBAT BERIJIN SERASI;JL D I PANJAITAN (dekat bri onan baru);Pangururan;Pardomuan I
PUSKESMAS LONTUNG;DES A PARMONANGAN;Simanindo;Parmonangan
EIRENE CV;JL SISINGAMANGARAJA;Pangururan;Pasar Pangururan
CAMELIA FRISKA, CV;JALAN TELE PINDA;Pangururan;Siogung - Ogung
TUKANG PANGKAS <CANDRA>;JL DR FL TOBING;Pangururan;Pasar Pangururan
TOKO EVA;JALAN GEREJA;Pangururan;Pasar Pangururan
IDA <SALON>;PASAR NAINGGOLAN;Nainggolan;Siruma Hombar
JUAL DAGING BABI ECERAN <LIAN>;SIMPANG 4 DUSUN 3;Pangururan;Parsaoran I
TOKO BANGUNAN MADUMA <MATRIAL>;DUSUN 2 SITUNGKIR LON DUT PANGURURAN;Pangururan;Situngkir
TOKO KELONTONG <LEO>;JALAN DR HADRIANUS SINAGA;Pangururan;Pintusona
CU KATOLIK ONAN RUNGGU;JALAN;Onan Runggu;Onanrunggu
SD NEGERI 14 JANJI MARIA;JANJI MARIA;Sitio-tio;Janji Maria
STEVEN SARAH CV (PASTI);AEK SIPITUDAI DUSUN 1;Sianjur Mulamula;Aek Sipitudai
KILANG PADI <MARINGAN>;LUMBAN RIHIT;Pangururan;Rianiate
KOPERASI CITRA M LESTARI;MALAU TONGA TONGA;Pangururan;Rianiate
YAYASAN BIMA;JLN FL TOBING;Pangururan;Pardomuan I
TOKO OBAT <NURHAIDA>;SIRUMAHOMBAR;Nainggolan;Siruma Hombar
LOUIS, CV;JL GREJA TUKTUK SI ADONG;Simanindo;Tomok
BUNI BUNI PUB;JL RONGGUR NIHUTA;Pangururan;Pardomuan I
POLINDES HUTA GINJANG;HUTA GINJANG DUSUN I;Palipi;Huta Ginjang
WARUNG KITA BUAH ALAM <SANUR>;JL PATUAN ANGGI;Pangururan;Pasar Pangururan
CV SEVEN BROTHER;JL SISINGAMANGARAJA;Pangururan;Pasar Pangururan
SMA NEGERI 1 ONAN RUNGGU;PAKPAHAN;Onan Runggu;Pakpahan
UD TAMBUN;J L PELABUHAN;Pangururan;Pardomuan I
SD NEGERI 30 SAITNIHUTA;DESA SAIT NIHUTA;Pangururan;Sait Ni Huta
GUDANG PT INDOMARCO;JL DR HADRIANUS S I NAGA;Pangururan;Pardomuan I
KANTOR PURNA KARYA,CV;JL SISINGAMANGARAJA;Pangururan;Pasar Pangururan
KIOS PUPUK SUBSIDI <JOSUA>;LUMBAN GAOL;Palipi;Parsaoran Urat
TRANSPORTASI DARAT(RAJA);PARMONANGAN;Sianjur Mulamula;Siboro
POLINDES MATAHARI DESA PARADUAN;PARADUAN;Ronggur Nihuta;Paraduan
USAHA BILLIARD <DINAR>;JALAN LING KAR TUKTUK;Simanindo;Siallagan Pindaraya
POLINDES TAMBUN SUNGKEAN;TAMBUN;Onan Runggu;Tambun Sungkean
APOTIK BERSAMA;JL LINGKAR TUKTUK;Simanindo;Tomok
POLINDES SAKURA;AEKNAULI;Pangururan;Aek Nauli
ANGKUTAN PENUMPANG <HEBER>;LUMBAN GOLONGAN TOLPING;Simanindo;Tuk-Tuk Siadong
KIOS SEMBAKO (MERLIYANA);DESA SAIT NIHUTA;Pangururan;Sait Ni Huta
LINTONG, CV;LUMBAN LINTONG;Pangururan;Pardomuan I
SEWA MOBIL <RISSAN>;LUMBAN PASIR;Simanindo;Simarmata
METRO, CV;JL.hadrianus sinaga,;Pangururan;Pardomuan I
TB HONGKONG LAMGANDA, CV;JL FL TOBING;Pangururan;Pardomuan I
IKA CIPTA PERDANA;DUSUN 2 SITUNGKIR;Pangururan;Sialanguan
CV HONGKONG LAMGANDA;JL DI PANJAITAN;Pangururan;Pardomuan I
PISANG <DOSLEN SIMBOLON>;JALAN DR HADRIANUS SINAGA;Pangururan;Pintusona
ANJU MANGASI, CV;JL FL TOBING;Pangururan;Pardomuan I
KB CITRA NAINGGOLAN;DOLOK MARTAHAN;Nainggolan;Nainggolan
KB KASIH;SIMPANG IMPRES;Sitio-tio;Tamba Dolok
RIMMA ALDO, CV;HUTALUNG DUSUN 3;Harian;Hutagalung
PUSKESMAS SITIO TIO;SITIOTIO;Sitio-tio;Sabulan
SD NEGERI 6 SIMARMATA;SIDAJI DUSUN 3;Simanindo;Simarmata
KIOS SOUVENIR <RISDA>;JL HORAS;Simanindo;Tomok Parsaoran
KIOS SOUVENIR <ROLEN>;JL SIGALE GALE;Simanindo;Tuk-Tuk Siadong
DERMAGA ONAN RUNGGU;PELABUHAN ONAN RUGGU;Onan Runggu;Onanrunggu
GARDU INDUK PLN TELE;GARDU DUSUN 2;Harian;Partungko Naginjang
PENJUAL BENSIN <SIDABUTAR>;JL BESAR TOMOK;Simanindo;Tuk-Tuk Siadong
TERAS BRI UNIT AMBARITA;JL HORAS TOMOK PARSAORAN;Simanindo;Tuk-Tuk Siadong
KIOS SOUVENIR <NASTI>;JL HORAS TOMOK PARSAORAN;Simanindo;Tomok Parsaoran
TOKO ALAT LISTRIK <IRMA SIANTURI>;JL SIANJUR MULAMULA PANGURURAN;Pangururan;Pasar Pangururan
ud marihot;JL DIPONEGORO;Pangururan;Pardomuan I
TOKO HARIANJA <MARDOT>;JL D I PANJAITAN;Pangururan;Pardomuan I
BECAK MOTOR <SINAGA>;SIMANAMPANG TANAH LAPANG;Pangururan;Pasar Pangururan
ROSITA GUEST HOUSE;JLN LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
LEMBAGA PENDIDIKAN SETIA ROHANA-SALON;sudah pindah;Pangururan;Pasar Pangururan
PAUD WISATA SAMOSIR;DUSUN 2 LUMBAN TONGATONGA;Pangururan;Lumban Suhi Suhi Toruan
JIMMY, UD;JL SITOB U;Simanindo;Tomok
UD GUNAWAN LS;JL DI PANJAITAN;Pangururan;Pardomuan I
BECAK MOTOR pak ani naibaho;jln tanah lapang;Pangururan;Pasar Pangururan
SAMPURAN CV;AEK RANGAT;Pangururan;Siogung - Ogung
LOKET PEMBAYARAN LISTRIK <GOK LIFE>;DESA PAKPAHAN;Onan Runggu;Pakpahan
ECERAN PUPUK (SUDIANTO);PASAR SIANJUR MULAMUL A;Sianjur Mulamula;Sianjur Mula Mula
BIDAN DESA (ROMARTA);SIANJUR MULAMULA;Sianjur Mulamula;Sianjur Mula Mula
KANTOR POS HARIANBOHO;JL. JANJI MARTAHAN NO. 1 HARIANBOHO;Harian;Turpuk Sagala
ANJU RESTAURANT;JL LINGKAR TUKTUK LUMBAN MANURUNG;Simanindo;Tuk-Tuk Siadong
PAUD TAMAN FIRDAUS;JL LINGKAR TUKTUK SI ADONG;Simanindo;Martoba
PONDOK BULU RESTAURANT;JALAN LINGKAR TUK TUK;Simanindo;Tomok
KM CAROLINA;JALAN LINGKAR TUKTUK;Simanindo;Tomok
TARIAN COFFE SHOP;JL LINGKAR TUKT U K;Simanindo;Simarmata
BERNAD  GUEST HOUSE;JLN LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
ANGKUTAN PENUMPANG <ROBIN>;KOMPLEK SMPN 4;Simanindo;Tuk-Tuk Siadong
MARSIURUPAN SIMANINDO, CV;JALAN LINTAS SAMOSIR DES A CINTA DAME;Simanindo;Tuk-Tuk Siadong
TOKO OBAT <GEBI>;JL LINGKAR TUKTUK;Simanindo;Ambarita
PRAKTEK BIDAN (LAMRIA);TOLPING;Simanindo;Martoba
LEO`S RESTAURANT;JLN LINGKAR TUKTUK LUMBAN MANURUNG;Simanindo;Tuk-Tuk Siadong
UPAR KONSTRUKSI SEJAHTERA CV;JALAN SIMANINDO SAIT NIHUTA;Pangururan;Sait Ni Huta
SMK SWASTA HKBP;JL GEREJA;Pangururan;Pasar Pangururan
TOKO PARSAORAN;JLN SIMANINDO DSN 3;Pangururan;Parsaoran I
MOBIL ANGKUTAN SEWA <PURIDIN>;SITANGGANG BAU DUSUN 1;Pangururan;Parsaoran I
NEW SEMANGAT CV;SAIT NIHUTA;Pangururan;Sait Ni Huta
USAHA MONIKA;JL PUTRILOPIAN;Pangururan;Pardomuan I
POLINDES SINAGA URUK PANDIANGAN;NASUMANDAR;Nainggolan;Sinaga Uruk Pandiangan
MENJUAL GAS 3KG <UD TIMBUL>;PASAR NAINGGOLAN;Nainggolan;Nainggolan
SAMOSIR JAYA, CV;JL DR HADRIANUS SINAGA;Pangururan;Pintusona
PERKASA UTAMA CV;JL SISINGAMANGARAJA;Pangururan;Pasar Pangururan
NARIK BECAK <MARTUA>;LUMBAN BOLAK DUSUN 2;Pangururan;Situngkir
NARIK BECAK (MARLON);DUSUN 1 MANDA HUTA;Pangururan;Sialanguan
CV PARTOPI DOLOK;JL RONGGUR NIHUTA Pasar silengge;Pangururan;Huta Tinggi
GROSIR <NELUCON>;SIARUNG WARUNG PARMONANGAN;Pangururan;Parmonangan
TRANSPORTASI KAPAL KM HOTNIEL <MARINGAN>;PINTU BATU;Pangururan;Rianiate
REGGAE RESTAURANT;JLN LINGKAR TUKTUK PANDAN;Simanindo;Tuk-Tuk Siadong
ASRAMA PUTRA BUDI MULIA;JL USKUP AGUNG SUGIO PRANOTO;Pangururan;Pardomuan I
UD SIMARSOIT;JL NAHUM SITUMORANG;Pangururan;Pardomuan I
TOKO OBAT TOMMY;JL PELABUHAN;Pangururan;Pardomuan I
JENNYS RESTAURANT;JLN LINGKAR TUKTUK LUMBAN MANURUNG;Simanindo;Tomok Parsaoran
PRAKTEK BIDAN MOREN DERMAWAN NADEAK;GANG PARJONGGI;Pangururan;Pardomuan I
LIBERTA GUEST HOUSE;JALAN LINGKAR TUK TUK;Simanindo;Tuk-Tuk Siadong
PENGEPUL HASIL TANI <ROMANTO>;RAUTBOSI;Simanindo;Cinta Dame
LASRITA,UD;Jl Diponegoro (Terminal Bawah);Pangururan;Pardomuan I
PRAKTEK DOKTER GIGI <NETTY>;JL SITOBU;Simanindo;Cinta Dame
SIBIGO GUEST HOUSE;J L N LING KAR TUKTUK;Simanindo;Tuk-Tuk Siadong
